Word	AFINN	freq	avg_AFINN	sd_AFINN
analitičnost	2	1	1.640	0.000
analitik	0	704	0.077	2.206
analitikov	2	1	1.640	0.000
analitski	1	17	0.807	2.668
analiza	0	482	-0.119	1.627
analiziran	-2	14	-1.753	1.376
analiziranje	0	2	-0.235	0.884
analizirati	0	57	0.359	1.683
analogen	0	3	0.390	2.500
analogija	-1	2	-0.860	5.303
anamneza	0	1	0.390	0.000
ananas	0	1	0.390	0.000
anarhija	-1	2	-1.485	2.652
anarhist	-2	1	-2.110	0.000
andra	0	5	0.390	2.165
android	1	12	0.693	1.668
androiden	2	1	2.473	0.000
anekdota	3	1	2.890	0.000
aneks	0	95	-0.137	1.735
anektirati	-5	1	-4.610	0.000
anemičen	1	3	1.084	0.962
anemično	-2	1	-2.110	0.000
anemija	-2	4	-1.798	2.135
anestetik	2	2	1.640	1.768
anestezija	2	2	1.640	1.768
angažiran	0	4	0.390	1.021
angažiranje	0	6	0.390	2.092
angažiranost	3	1	2.890	0.000
angažirati	1	21	1.160	1.310
angažma	0	7	0.211	1.967
angel	1	39	1.432	1.595
angelček	3	1	2.890	0.000
angelski	2	2	1.640	0.000
angina	-2	2	-2.110	0.000
angleščina	0	20	-0.027	2.064
angleški	1	60	1.384	1.858
anglež	-1	6	-0.860	1.936
angloameriški	2	1	1.640	0.000
anglosaški	0	1	0.390	0.000
anglo...	-1	12	-0.617	3.273
angl.	-1	10	-0.943	3.507
anica	0	8	0.078	1.736
animacija	1	4	1.015	1.250
animacijski	3	4	2.578	1.573
animateka	3	1	2.890	0.000
animator	3	2	2.890	0.000
anion	3	4	3.202	0.625
anionski	4	2	4.140	0.000
anka	1	6	0.598	0.510
ankaranski	1	10	1.473	1.291
anketa	0	223	0.196	1.680
anketen	-1	25	-1.427	1.839
anketiranec	0	74	0.371	1.558
anketiranje	2	6	1.640	2.092
anketirati	1	6	1.223	1.514
anksiozen	-2	1	-2.110	0.000
anoda	0	1	0.390	0.000
anomalija	-1	22	-0.822	1.239
anonimen	-1	91	-0.704	1.731
anonimka	-1	31	-0.616	1.133
anonimnež	0	9	-0.027	1.768
anonimnost	-1	8	-1.402	2.275
anoreksičen	-5	1	-4.610	0.000
anoreksija	0	2	0.390	3.536
anorganski	2	1	1.640	0.000
ansambel	3	8	3.046	1.407
antarktika	2	1	1.640	0.000
ante	0	16	0.251	1.657
antena	0	6	-0.443	2.923
antenica	-2	1	-2.110	0.000
anteromedialen	3	1	2.890	0.000
antibiotičen	1	3	1.223	2.887
antibiotik	-2	3	-1.832	0.867
antičen	-1	2	-0.860	3.536
antidatirati	-2	1	-2.110	0.000
antidepresiv	1	3	0.807	3.608
antiepileptik	3	2	2.890	0.000
antihistaminik	-2	1	-2.110	0.000
antihrvaški	-2	1	-2.110	0.000
antikorupcijski	-2	1	-2.110	0.000
antipiretik	1	1	0.807	0.000
antipod	-2	1	-2.110	0.000
antirabičen	0	2	0.390	0.000
antisocialen	0	1	0.390	0.000
antitusik	1	1	0.807	0.000
anti...	0	35	-0.417	2.192
anto	-2	3	-1.888	1.974
anton	0	204	-0.103	1.635
antonov	5	3	4.557	1.443
antropologija	3	1	2.890	0.000
antwerpski	1	1	0.807	0.000
anuiteta	-1	9	-0.582	1.898
aparat	1	110	1.400	2.115
aparatura	2	3	2.057	1.443
apartheid	0	1	0.390	0.000
